leaf_size,metric,n_neighbors,weights,f1_macro_score,loss
20,<function sqeuclidean at 0x0000022CDC95A200>,6,uniform,0.7797826110076082,0.22021738899239185
20,<function sqeuclidean at 0x0000022CDC95A200>,6,distance,0.8187751243360409,0.18122487566395906
20,<function sqeuclidean at 0x0000022CDC95A200>,7,uniform,0.7784070978230536,0.22159290217694638
20,<function sqeuclidean at 0x0000022CDC95A200>,7,distance,0.8017870982968632,0.19821290170313677
20,<function sqeuclidean at 0x0000022CDC95A200>,10,uniform,0.762306441260014,0.237693558739986
20,<function sqeuclidean at 0x0000022CDC95A200>,10,distance,0.790303033724392,0.20969696627560797
20,<function chi_square_distance at 0x0000022CE0295240>,3,uniform,0.7022129844056861,0.29778701559431386
20,<function chi_square_distance at 0x0000022CE0295240>,3,distance,0.7132516403733239,0.2867483596266761
20,<function chi_square_distance at 0x0000022CE0295240>,4,uniform,0.6991492486593657,0.3008507513406343
20,<function chi_square_distance at 0x0000022CE0295240>,4,distance,0.7234810477604462,0.2765189522395538
20,<function chi_square_distance at 0x0000022CE0295240>,5,uniform,0.6974407014047547,0.30255929859524533
20,<function chi_square_distance at 0x0000022CE0295240>,5,distance,0.723773174611603,0.27622682538839705
20,<function chi_square_distance at 0x0000022CE0295240>,6,uniform,0.6854839072572242,0.3145160927427758
20,<function chi_square_distance at 0x0000022CE0295240>,6,distance,0.7193640577293817,0.2806359422706183
20,<function chi_square_distance at 0x0000022CE0295240>,7,uniform,0.6984907262568248,0.30150927374317515
20,<function chi_square_distance at 0x0000022CE0295240>,7,distance,0.7301008324863826,0.2698991675136174
20,<function chi_square_distance at 0x0000022CE0295240>,10,uniform,0.6864116836462423,0.3135883163537577
20,<function chi_square_distance at 0x0000022CE0295240>,10,distance,0.7178883132822816,0.28211168671771836
20,<function bhattacharyya_distance at 0x0000022CE0295AB0>,3,uniform,0.766417735816733,0.233582264183267
20,<function bhattacharyya_distance at 0x0000022CE0295AB0>,3,distance,0.7817172171852356,0.21828278281476443
20,<function bhattacharyya_distance at 0x0000022CE0295AB0>,4,uniform,0.7448068092675143,0.2551931907324857
20,<function bhattacharyya_distance at 0x0000022CE0295AB0>,4,distance,0.7852855205450658,0.21471447945493416
20,<function bhattacharyya_distance at 0x0000022CE0295AB0>,5,uniform,0.7512302226287147,0.24876977737128525
20,<function bhattacharyya_distance at 0x0000022CE0295AB0>,5,distance,0.7699165434015147,0.23008345659848528
20,<function bhattacharyya_distance at 0x0000022CE0295AB0>,6,uniform,0.7498704615579269,0.2501295384420731
20,<function bhattacharyya_distance at 0x0000022CE0295AB0>,6,distance,0.7718612475011511,0.22813875249884885
20,<function bhattacharyya_distance at 0x0000022CE0295AB0>,7,uniform,0.7496962242531616,0.2503037757468384
20,<function bhattacharyya_distance at 0x0000022CE0295AB0>,7,distance,0.7582583268074726,0.24174167319252737
20,<function bhattacharyya_distance at 0x0000022CE0295AB0>,10,uniform,0.7419622374979994,0.2580377625020006
20,<function bhattacharyya_distance at 0x0000022CE0295AB0>,10,distance,0.7622067894826673,0.2377932105173327
20,<function intersection_distance at 0x0000022CE02953F0>,3,uniform,0.7068730930335502,0.29312690696644983
20,<function intersection_distance at 0x0000022CE02953F0>,3,distance,0.07564474885304595,0.924355251146954
20,<function intersection_distance at 0x0000022CE02953F0>,4,uniform,0.7001041049426249,0.29989589505737513
20,<function intersection_distance at 0x0000022CE02953F0>,4,distance,0.07564474885304595,0.924355251146954
20,<function intersection_distance at 0x0000022CE02953F0>,5,uniform,0.7071327110154146,0.29286728898458536
20,<function intersection_distance at 0x0000022CE02953F0>,5,distance,0.07564474885304595,0.924355251146954
20,<function intersection_distance at 0x0000022CE02953F0>,6,uniform,0.6939082783974481,0.30609172160255194
20,<function intersection_distance at 0x0000022CE02953F0>,6,distance,0.07564474885304595,0.924355251146954
20,<function intersection_distance at 0x0000022CE02953F0>,7,uniform,0.6905585470175223,0.3094414529824777
20,<function intersection_distance at 0x0000022CE02953F0>,7,distance,0.07564474885304595,0.924355251146954
